№,Марка,Пробег,Цена,Фото
1,"BMW 5 серия E60/E61 [рестайлинг] Седан , 2010",248000 км,14200$ ,https://i.cars.kg/preview/r/TgFHHljubRRdxsahCYNktg/1080x-/20230108/00a0cff9afe4cbdfbdd89bf0cc6fc7a4.jpg
2,"Audi 80 B2 Седан 4-дв. , 1985",134000 км,1234$ ,https://i.cars.kg/preview/r/AOi7dkFBC7krPF0IK7SNRg/1080x-/20230109/baf4c88fcfbd640119d2bdacf4702606.jpg
3,"ИЖ 412 1 поколение [2-й рестайлинг] Седан , 1984",122000 км,1234$ ,https://i.cars.kg/preview/r/_UV2MftERSckeKjmd5glbw/1080x-/20230109/31f6613bc2039e7e89f9aa4fe5cb3c60.jpg
4,"Toyota Land Cruiser J100 Внедорожник , 2001",488000 км,17900$ ,https://i.cars.kg/preview/r/-GM5XDePhCjLl5iSuG7c8w/1080x-/20230201/a8ef44871dd57c43b28f78a07c5322ca.jpeg
5,"Toyota RAV4 , 2020",60000 км,40500$ ,https://i.cars.kg/preview/r/Yv-j47fISFFQg7T16ZDZMw/1080x-/20230215/4538901654b1fe0bfab9d88f18d5cff6.jpg
6,"Toyota Prius 3 поколение [рестайлинг] Хетчбэк , 2014",124000 км,13500$ ,https://i.cars.kg/preview/r/GofZ39rD1ORcj0HbY-jSPQ/1080x-/20230208/9562cc7cd4425ddf07d8875bc567c9a9.jpg
7,"Hyundai Santa Fe DM [рестайлинг] Premium кроссовер , 2016",Нет пробега!,26700$ ,https://i.cars.kg/preview/r/bUrYuduHL9sauDDGL2Gqww/1080x-/20230104/32c7820e0fb94f82af6174f5377d8f16.jpg
8,"Kia Sorento , 2017",Нет пробега!,27$ ,https://i.cars.kg/preview/r/joH-3XNSWmkBwXqrDLt7YA/1080x-/20230105/200b1b6a403c6b8373140b67112ad8fe.jpg
9,"Hyundai Santa Fe , 2017",Нет пробега!,26$ ,https://i.cars.kg/preview/r/kCFiJ_XIy1apa-x1v482FA/1080x-/20230105/a407b4bc41212dc2b700090919525677.jpg
10,"Kia Sorento 2 поколение [рестайлинг] Кроссовер , 2016",Нет пробега!,27100$ ,https://i.cars.kg/preview/r/PwMyAybrDi43TZ1hkiJ4uA/1080x-/20230107/9c9ca061deaa5ca669e75a13c7cdd9f5.jpg
11,"Kia Sportage 4 поколение Кроссовер , 2016",Нет пробега!,21600$ ,https://i.cars.kg/preview/r/7JO4n1IY6pn-c2p7LUQalw/1080x-/20230107/49361259ed4840aa7e10457857545298.jpg
12,"Kia Sorento 3 поколение Prime кроссовер , 2016",Нет пробега!,21$ ,https://i.cars.kg/preview/r/sTyD5d9xwIhZOYFsy0GoEA/1080x-/20230212/2092ddd3f61360ca5346ceed054deeaa.jpg
13,"Nissan , 1995",Нет пробега!,2299$ ,https://i.cars.kg/preview/r/X3YETK7sSl3-C3g3mR27Gg/1080x-/20230215/48a8c81d4347f441138e63c67d19c983.jpg
14,"Suzuki Vitara TA Внедорожник , 1993",111000 км,8048$ ,https://i.cars.kg/preview/r/SDaXDi5T9UbcqZo7NbfCVQ/1080x-/20230205/c88a57e72655bf03da528b4f6a19ac97.jpg
15,"Hyundai Porter , 2014",320000 км,10000$ ,https://i.cars.kg/preview/r/4WkwZ22HAH6hmQa7CTBV6w/1080x-/20230214/3e403ea20a352c382f747cce45382456.jpg
